comment;label
Con chó đẻ;1
Địt con mẹ... Nơi này như con cặc;1
Máy tính như đặc cầu;1
Cái bánh dở như cái lồn và cái vị như cục cứt;1
Đéo dừng lại được việc thủ dâm nữa;1
Thực đơn đụ mẹ như cái lồn vậy;1
Đồ ăn ở đây như cục cứt vậy;1
Khoai tây như cái lồn vậy và bạn có thể nhận ra chúng được từ cức đèn;1
Cô nhân viên phục vụ nuột quá;1
Dịch vụ nơi đây như cái con cặc;1
Sẽ không quay lại;1
Nhân viên phục vụ như con cặc vậy và đéo them nghe tôi nói;1
Ngu như con bò vậy;1
Nhân viên ở đây phục vụ như cái cục cứt vậy;1
Nơi này đồ ăn quá dở chết đi được;1
Không có tí vị nào cả, như cái lồn vậy;1
Món ăn như cái con cặc vậy;1
Dịch vụ quá tệ đến nỗi không ai chấp nhận;1
Tôi cảm thấy điều này quá dở;1
Đừng làm điều đó!!!!;1
Người phục vụ đéo hề nhiệt tình tại nơi như này;1
Chồng tôi và tôi đã ăn trưa ở đây và rất thất vọng với đồ ăn và dịch vụ;1
Nhà vệ sinh bẩn như bãi rác và quán cũng đéo được trang trí;1
Dịch vụ nơi đây cực kì tệ hại, vừa chậm vừa như cức nữa;1
Tôi cực kì ghét nơi phế thải nơi này;1
Không khí như cức vậy, đầy khói bụi;1
Tôi không khuyên bạn nên đến nơi này;1
Dịch vụ khủng khiếp!;1
Thật thất vọng!;1
Mọi thứ đều đéo ổn khi tôi ở trên đó;1
Thức ăn rất tốt nhưng khi ăn nó, tôi thấy có một cục cức chó bên trong, fuck;1
Dù sao thì mình cũng đếch quay lại chỗ đấy lần nào nữa;1
Tao cho mày đúng 5 ngày để trả tiền đấy con súc vật;1
Nếu bạn chưa đến đây, HÃY CÚT ĐI NGAY!;1
Quản lý thật kinh khủng và khủng khiếp;1
Tối qua tôi có sục nhưng mẹ tôi đã thấy, địt mẹ;1
Các món tráng miệng sao có vị như cức vậy;1
Không khí thật đéo thể thở nổi;1
Tôi khuyên bạn nên bỏ mẹ cái này đi cho rồi!;1
Địt con mẹ, tôi đang có một đêm vui vẻ thì bị phá;1
Tôi nghĩ rằng nhà hang này đếch thể duy trì lâu dài được;1
Tôi đếch thể tìm ra nơi này;1
Tôi thề sẽ giết thằng chó đó!;1
Thức ăn dở như cặc vậy!;1
Tôi coi đây là hành vi như con súc vật;1
Thật kinh tởm để biết được vậy;1
Tôi thề sẽ đéo ghé qua chỗ đấy lần nào nữa;1
Dịch vụ như cái lồn và công ty phục vụ buồn nôn!;1
Các nhân viên phục vụ như con cặc vậy;1
Dịch vụ nơi đây như cái con cặc;1
Con súc vật kia;1
Đồ phế thải, ngươi xứng đáng đi chết đi;1
Cuối cùng những tên phế thải này cũng đã chết;1
Người súc vật như này mà vẫn sống được sao;1
Đồ con đĩ kia;1
Địt mẹ con súc vật;1
